13.47.31:105	Печать пина для карты 127.0.0.1:1604
13.47.32:145	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.47.36:169	Печать пина для карты 127.0.0.1:1604
13.47.37:203	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.47.41:311	Печать пина для карты 127.0.0.1:1604
13.47.42:340	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.47.46:373	Печать пина для карты 127.0.0.1:1604
13.47.47:401	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.47.51:469	Печать пина для карты 127.0.0.1:1604
13.47.52:498	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.47.56:552	Печать пина для карты 127.0.0.1:1604
13.47.57:592	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.48.01:603	Печать пина для карты 127.0.0.1:1604
13.48.02:633	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.48.06:665	Печать пина для карты 127.0.0.1:1604
13.48.07:697	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.48.20:642	Stop service...
